id,display_name,reputation,num_answers
1144035,Gordon Linoff,1177363,85179
22656,Jon Skeet,1299272,35341
3732271,akrun,739668,33471
1491895,Barmar,636229,28192
6309,VonC,1086690,26854
2901002,jezrael,680025,26534
548225,anubhava,692192,24642
19068,Quentin,829234,22815
115145,CommonsWare,935387,22417
29407,Darin Dimitrov,979130,21443
157247,T.J. Crowder,920108,21106
100297,Martijn Pieters,927213,19879
1863229,Tim Biegeleisen,420082,18670
3832970,Wiktor Stribiżew,526986,18115
157882,BalusC,1018941,17094
23354,Marc Gravell,954787,16332
3962914,Ronak Shah,340133,16317
17034,Hans Passant,886924,16088
335858,Sergey Kalinichenko,687429,15964
34397,SLaks,820852,15120
